timestamp,dvol,lee_mykland_jump,lee_mykland_jump_standard,T_statistic,L_statistic
2024-01-11 21:00:00,59.43,0,0,-7.10040430582186,-2.080882549785906
2024-01-11 22:00:00,57.31,0,0,2.730826968634729,-4.754110856135517
2024-01-11 23:00:00,57.3,0,0,-14.668753853830038,-0.02295860523888465
2024-01-12 00:00:00,57.26,0,0,-14.413776481493137,-0.09228997484877324
2024-01-12 01:00:00,57.09,0,0,-13.303131258169758,-0.39428757478461174
2024-01-12 02:00:00,57.7,0,0,-9.552642862706964,1.4140898214712605
2024-01-12 03:00:00,56.73,0,0,-6.511463008791581,-2.241022668764708
2024-01-12 04:00:00,57.03,0,0,-12.198211533249125,0.6947283438443473
2024-01-12 05:00:00,56.3,0,0,-8.530215927799503,-1.6920998231960926
2024-01-12 06:00:00,55.94,0,0,-11.665220830871037,-0.8396548329932886
2024-01-12 07:00:00,55.07,0,0,-7.237573610450303,-2.043584590083975
2024-01-12 08:00:00,57.01,0,0,1.4916726319185278,4.4171701051380055
2024-01-12 09:00:00,56.72,0,0,-12.376470372630072,-0.6462576526372059
2024-01-12 10:00:00,56.02,0,0,-8.979615118896213,-1.5699028567172677
2024-01-12 11:00:00,55.99,0,0,-14.50417162383534,-0.06771046425445737
2024-01-12 12:00:00,55.86,0,0,-13.672426112622992,-0.29387192686077557
2024-01-12 13:00:00,55.86,0,0,-14.753187853464976,0.0
2024-01-12 14:00:00,56.17,0,0,-12.16341074059545,0.7041910918367497
2024-01-12 15:00:00,55.96,0,0,-13.001612750930923,-0.4762740305944093
2024-01-12 16:00:00,56.9,0,0,-6.981460706470092,2.1132247242063555
2024-01-12 17:00:00,56.93,0,0,-14.506940829495266,0.06695748441403304
2024-01-12 18:00:00,56.54,0,0,-11.539480292648333,-0.8738451756521889
2024-01-12 19:00:00,56.59,0,0,-14.339997700841558,0.11235129975709843
2024-01-12 20:00:00,56.62,0,0,-14.505433461760235,0.06736735556698137
2024-01-12 21:00:00,56.63,0,0,-14.670565871500042,0.02246589615781091
2024-01-12 22:00:00,57.24,0,0,-9.734858931309596,1.364543112736426
2024-01-12 23:00:00,57.42,0,0,-13.284377294159915,0.39938699987672927
2024-01-13 00:00:00,57.19,0,0,-12.876337360242314,-0.5103378941257151
2024-01-13 01:00:00,56.18,0,0,-6.438486643317716,-2.2608658074757373
2024-01-13 02:00:00,56.73,0,0,-10.230544123520286,1.229760433958563
2024-01-13 03:00:00,56.73,0,0,-14.753187853464976,0.0
2024-01-13 04:00:00,56.19,0,0,-10.30761085324756,-1.2088050767267566
2024-01-13 05:00:00,56.06,0,0,-13.677278786421335,-0.29255242733959996
